Id ,Text,Topic_label,sentiment_label,confidence,notes,include
51,Nelly Shaba nanga chisale?,economy,Negative,Low,not align with the post,no
52,Nelly Shaba ndakutukwanapo? Ulibe khalidwe.,economy,Negative,Low,,no
53,Gelie Mac Greva munthuyi mburi MUSIYE iye apanga target munthu kkkkkk,economy,Negative,Low,,no
54,makhoti mwalowa ndale kowophya ndiye inu aboma simungapenze majaji olongosoka,economy,Neatural,Medium,,yes
55,"Vuto ndima courts anthu....Alex kamangira uja amkanena zowona...amachita kutchula dzina lama lawyer a corruption ndima judge omwe 
This is excatly what is happening

Mwina tiyese kusintha the way we govern...let's try provisional system kungotengela mmene ma regions a police amayendela like south West province, central east province, northern province central west province, South East province mwina it will be easy to track these mbavazi",economy,Neatural,Medium,,yes
56,"Chosencho okubawo angoyenda mitima ili m'malo, nao ma judge ake akatangale okhaokha, angopereka ma bail akatero mulandu watha, kwinaku attorney general akugona kulephera kumanganso achina chinkono ndi gulu lake la zigawenga lija, pena nkumati nde kuti ma judge onse ndi a mcp eti?🙆🙆🙆🙎😔😔",economy,Neatural,High,,yes
57,"Pankhani ya corruption palibe ,lamulo lonkwina , that's why",economy,Positive,High,,yes
58,.. just say since the era of multiparty...nde pano ulamuliro uli mmanja eni umbava wo..these stories will continue to make headlines mpaka kale kale...kaya ife tili kolima soya...,economy,Neatural,Medium,,no
59,Broblem is our judiciary,economy,Positive,High,,yes
60,ACB and ombudsman thesan zimenezo palibe chomwe timapindula plus ku judiciary thesan kuwapasa ma billions,economy,Positive,High,,yes
61,Ngakhalenso ku ACB komweko kulinso a katangale nchifukwa chake zinthu zikuvutabe,economy,Positive,High,,yes
62,Corruption throughout zaziii,economy,Neatural,Medium,,yes
63,Ulamuliro waku China onyonga uja ukanatithandizako kwa anthu ngati awa,economy,Neatural,High,,yes
64,Ma judge aku malawi sakonda dziko lawo dyera apo nawo aliwamo anapanga kale ma share tikudziwa munthu okonda dziko lake sangapange kt mwenye obwera dziko limulipire ndalama zosezo ayi ndikupusa kumeneko ndi amene akuwononga dziko lino,economy,Neatural,High,,yes
65,Yugo Banda umburi mtaye wakhuta chitedze ameneyu,economy,Negative,Low,un neccessary,no
66,"Nelly Shaba Read the headline again and you come again.
,",economy,Negative,Low,,
67,Fyakitima,economy,Negative,Low,,no
68,"Koma ku Malawi kunoko ndikokwiyitsa eeeh, but all real thieves, none is serving a jail term.",economy,Neatural,Medium,,yes
69,"DPP Why 
Boma la Zisiru ili",economy,Negative,Low,,no
70,Eeee tilila tilakhula palibe chingasithe ndalama zapita ovutika ndife anthu timavota.,economy,Positive,High,,yes
71,Bwanj tgawane ka Nyasaland kaaa?📌 Alyese azlamla panyumba pake‼️💪😄,economy,Negative,Low,,no
72,Koma inuyo a DPP ndi MCP ndinu anthu oipa zedi in ten years kusakaza ndalama chomcho? Wa DPP kapena MCP asayankhule ngati amalikonda dzikoli ayi mfiti za wanthu. Mulungu atakulangani pansi pano sangalakwitse.,economy,Neatural,High,,yes
73,Mcp never again,economy,Negative,Low,,yes
74,Tizafa amphawi kuno,economy,Neatural,High,,yes
75,Very good Malawian muzikhaula tsopanomumaokila kumbuyo mbava Kwabasi,economy,Neatural,Medium,,no
76,Akamangidwa mukuthamanganso awamanga pa zifukwa za ndale atuluke,economy,Neatural,Low,,no
77,Zitsiru zama politicians,economy,Negative,Low,,no
78,Koma kuno tilimmavuto,economy,Neatural,Low,,no
79,Puruveni lidachipi.,economy,Negative,Low,,no
80,Kusekesa kwake apart from kumanga nyumba zogona ndi kufa ndi diabetis..nothing else to show from the stolen money,economy,Negative,Medium,,yes
81,Being a Malawian is a joke of life😭😭,economy,Neatural,Medium,,yes
82,There is a legend who is reading the comments and not writing anything. How are you Boss?🤣🤣,economy,Negative,Low,,no
83,Mfuti ija idzakonza zinthu kuno...kunachuluka ufulu ma politicians amatitola kwambr,economy,Neatural,High,,yes
84,Dziko lino limafunika military dictatorship....lotopetsa bullshit,economy,Negative,Low,,no
85,ACB ine ntchito Yake sinaione dzaka zapitazi 🙄🙄🙄🙄,economy,Neatural,High,,yes
86,"The fruits of kamuzu Banda, a Malawi ndife a mantha kwambiri, kuphatkza achina namiwa mmalo moti tzipanga ma demo oti oba ndrama zathu adziwika mkumawatulutsa aakuti belo! Tzpita pa mseu kt abweze zathu apoo bii!! Kukadya ku state house! Timapanga ma demo achipani, osati odya misonkho yathu!! Namiwa, mtambo, trapenzi,mwakasungura, mbava zokhazokha, mmalimbana ndi zazii!! I0triyoni yadyedwa apa mulichete! Achina kalindo mwana owopsyakwambiri bwerani apa mupange ma demo otiabweze zathu!! Misonkho chikwezeleni aziba bwino!! Ife kupusa kwambiri!! Ine sindingayambise chifkwa sindikudziwika ndi dziko, ndangolembako!! Tinagona kwambiri! A acb nawo amaopa kuphedwa akangowaopseza basi asiya! Nde mmaxiyambilanji!! Osaztiwuzanso makape inu kwambiri mmene munayambira mukungoti awatulusa pabelo, zopepela basi, zikupweteka tu izi, mwalembazi za 10 triyoni",economy,Positive,High,,yes
87,Allan Lungu that's the best. This system will benefit boarder towns which generate lots of revenue but are neglected,economy,Positive,High,,yes
88,E Juma Phiri Excatly bro,economy,Negative,Low,,no
89,Usisya bbc-news/sports welengani bweni man phuma ayi,economy,Negative,Low,,no
90,Austin Lekele Augustin komatu mwavala bho koma chingerezi chakugwesani apa akut 2 decades simuva kod,economy,Negative,Low,,no
91,Dpp zaka 15 kukanika kumanga school imeneyi pano muziti chiyani dpp ayi zikomo,economy,Negative,Low,,no
92,"The story says ""over the past two decades"". Surely, you are part of the problem, sir",economy,Positive,High,,yes
93,Bless Kadzamila ndaphunzitsa chonsecho chizungu chawapetawo 🤣🤣,economy,Negative,Low,,no
94,"Austin Lekele Augustin nde ngat aphunzitsi English ikukupetan, ana athu mukuwaphunzitsa za nzeru koma??😳😳",economy,Negative,Low,,no
95,The same has to be said about the DPP if the news headline is anything to go by.Mwina chizungu chakulambalalani🤣,economy,Negative,Low,,no
96,Austin Lekele Augustin do you know the meaning of the word DECADE?,economy,Negative,Low,,no
97,Chancy Rabson true bro,economy,Negative,Low,,no
98,"Chancy Rabson Fact, in fact I blame myself for being a Malawian",economy,Neatural,Medium,,yes
99,"Chancy Rabson and ndikumati kumwamba tikakhaleso limodxi,for what reasons ,ndani angafuneso kukakhala mmalawi moyo winawo",economy,Negative,Medium,,yes
100,"Amuna Dulla VeGie I'm great and I don't know where to start from because I'm not good at English ,hence let me read the comments Boss🤣🤣",economy,Negative,Low,,yes
101,Amuna Dulla VeGie that comment has expired..think of another one..,economy,Negative,Low,,no
102,Amuna Dulla VeGie great and you?,economy,Neatural,Medium,,